productId,modelId,displayName,category,sport,price,salePrice,salePercentage,isFlash,onlineFrom,rating,ratingCount,link,mainImage,secondImage
HQ2199,MCX44,Ultraboost 1.0 Shoes,shoes,Lifestyle,210,210,0%,False,2023-03-08T00:00:00.000Z,,-99,https://www.adidas.com/us/ultraboost-1.0-shoes/HQ2199.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d583c36d379a48bdaa25af2b001b8f81_9366/ultraboost-1.0-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/a912dbc979624982913daf6f017bdd97_9366/ultraboost-1.0-shoes.jpg"
GY2404,LSC67,T-Mac 1 Basketball Shoes,shoes,Basketball,140,98,30%,False,2022-11-20T00:00:00.000Z,,-99,https://www.adidas.com/us/t-mac-1-basketball-shoes/GY2404.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/62801c7d1e7b410eb5eeae94014ad43b_9366/t-mac-1-basketball-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/16d45556d46c476ea6fcae9401467996_9366/t-mac-1-basketball-shoes.jpg"
HP9739,LII80,Nora Shoes,shoes,Skateboarding,80,80,0%,False,2023-01-06T00:00:00.000Z,,-99,https://www.adidas.com/us/nora-shoes/HP9739.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/cc74ea544a53450a8159af15011575fa_9366/nora-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/506c0a2aeef040c7816caf15010f72a9_9366/nora-shoes.jpg"
GZ9798,MDG05fl,NMD S1 Shoes,shoes,Lifestyle,250,250,0%,False,2023-05-08T01:00:00.000Z,,-99,https://www.adidas.com/us/nmd-s1-shoes/GZ9798.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9f8308d2f0604b238027afaa00e3facd_9366/nmd-s1-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/31a750dd9ced4280b0f9afaf00858c72_9366/nmd-s1-shoes.jpg"
HQ4452,LWY35,NMD_R1 Shoes,shoes,Lifestyle,160,128,20%,False,2022-12-16T00:00:00.000Z,4.531,1859,https://www.adidas.com/us/nmd_r1-shoes/HQ4452.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/8d3107cda1aa40e98871aef900fe4cf3_9366/nmd_r1-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/a8b5261d871b40888f5aaef900fdf5fa_9366/nmd_r1-shoes.jpg"
FX5500,S75104L,Stan Smith Shoes,shoes,Lifestyle,100,100,0%,False,2021-03-01T00:00:00.000Z,4.8889,9,https://www.adidas.com/us/stan-smith-shoes/FX5500.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/fe44a349342e45f3ad3cac0901058c4a_9366/stan-smith-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/dcc8b21f893a457886d8ac0900afa80b_9366/stan-smith-shoes.jpg"
GX0651,LRM15,Racer TR21 Shoes,shoes,Lifestyle,75,45,40%,False,2022-03-04T00:00:00.000Z,4.6147,1173,https://www.adidas.com/us/racer-tr21-shoes/GX0651.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7aeef037b51340e0aa78ade4014106ff_9366/racer-tr21-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4b736d176bb34b09a6acade40140a0d8_9366/racer-tr21-shoes.jpg"
HR1312,KYX25,TERREX Swift R3 GORE-TEX Hiking Shoes,shoes,Hiking,160,160,0%,False,2023-02-02T00:00:00.000Z,4.3906,548,https://www.adidas.com/us/terrex-swift-r3-gore-tex-hiking-shoes/HR1312.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/592fe4bca60648c8a7eeaef9010d0311_9366/terrex-swift-r3-gore-tex-hiking-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4f711993a7d547718956aef9010867b4_9366/terrex-swift-r3-gore-tex-hiking-shoes.jpg"
HP2382,LWO08,Duramo 10 Running Shoes,shoes,Running,70,70,0%,False,2023-03-01T00:00:00.000Z,4.6079,459,https://www.adidas.com/us/duramo-10-running-shoes/HP2382.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/755a6cd9c7524688b56daf8f00d32f88_9366/duramo-10-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/bf9740f4d9964feba7beaf8f00c78c07_9366/duramo-10-running-shoes.jpg"
ID4273,MAP03,TERREX Hydroterra Light Sandals,shoes,Yoga,70,70,0%,False,2023-05-02T00:00:00.000Z,,-99,https://www.adidas.com/us/terrex-hydroterra-light-sandals/ID4273.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f1420454e3f14ff0adb3afab00a292f3_9366/terrex-hydroterra-light-sandals.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7037aed719554d75ae8eafab0092167c_9366/terrex-hydroterra-light-sandals.jpg"
GY1890,LKN86,Samba Vegan x Disney Minnie Shoes,shoes,Lifestyle,100,100,0%,False,2023-04-14T00:00:00.000Z,,-99,https://www.adidas.com/us/samba-vegan-x-disney-minnie-shoes/GY1890.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/8766086da8ac48bcafa9addc00e3d085_9366/samba-vegan-x-disney-minnie-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/211aecd165b2458597d0addb0127779b_9366/samba-vegan-x-disney-minnie-shoes.jpg"
EG4959,GVS47,Superstar Shoes,shoes,Lifestyle,100,100,0%,False,2019-10-01T00:00:00.000Z,4.7021,2027,https://www.adidas.com/us/superstar-shoes/EG4959.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f112bd38aab24636aa55aae700d35989_9366/superstar-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ff0654f4089f4413baa7aae700d2a08c_9366/superstar-shoes.jpg"
HQ3790,LSI57,Runfalcon 3 Cloudfoam Low Running Shoes,shoes,Running,65,65,0%,False,2023-01-06T00:00:00.000Z,,-99,https://www.adidas.com/us/runfalcon-3-cloudfoam-low-running-shoes/HQ3790.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/502290d41d3f49e4a9c2af3b0171e2ea_9366/runfalcon-3-cloudfoam-low-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e797f8624fdc4f78b46eaf3b0171981f_9366/runfalcon-3-cloudfoam-low-running-shoes.jpg"
HP6362,LJA33,Oznova Shoes,shoes,Lifestyle,130,91,30%,False,2023-01-06T00:00:00.000Z,,-99,https://www.adidas.com/us/oznova-shoes/HP6362.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/afde375509174129a253aefa00894477_9366/oznova-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/a144d6465afa4f118221aefa0088ffb9_9366/oznova-shoes.jpg"
EE6999,GSZ50,OZWEEGO Shoes,shoes,Lifestyle,120,120,0%,False,2020-08-01T00:00:00.000Z,4.7524,1704,https://www.adidas.com/us/ozweego-shoes/EE6999.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/3c930598e8784957a410aa76010d8421_9366/ozweego-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/01f70fd433454304b021aa7600eeb159_9366/ozweego-shoes.jpg"
HP9735,MDF93,Ultra 4D Running Shoes,shoes,Lifestyle,220,220,0%,False,2023-03-01T00:00:00.000Z,,-99,https://www.adidas.com/us/ultra-4d-running-shoes/HP9735.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/bcbbd83dcb6a4ad1a15eaf2a0162147f_9366/ultra-4d-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7e0bf0acacac42969fa6af2a01627b8e_9366/ultra-4d-running-shoes.jpg"
